Timestamp,Room Temperature ,Outdoor Temperature ,Humidity ,Heart Rate ,Systolic ,Diastolic ,Steps Count,Calories Burned (kcal),CO2 (ppm),Ammonia (NH3) (ppm),Asleep,,Privacy Score
10/02/2024 00:00,26.33201224,36.09430768,81.23980688,89.87948354,139.0979512,99.158291,6998.592135,500.6658155,1000.184419,9.772134517,0,,0.181135901
10/02/2024 01:00,25.24539075,34.21210238,79.60573765,90.56421468,140.5040159,99.72422864,6999.780355,499.3173036,1000.179858,11.07150171,0,,0.182956347
10/02/2024 02:00,24.30670381,34.52259246,79.28107327,90.94840861,138.7504636,99.66661968,7001.274843,499.1187917,999.506385,12.25674291,1,,0.256138886
10/02/2024 07:00,25.44454474,34.59107099,79.15151279,90.22447602,139.8064742,100.5118121,7000.00968,500.3556889,999.6495225,11.78856508,0,,0.182956347
10/02/2024 08:00,26.1904868,33.69459488,79.69589763,89.81767319,139.1819496,99.7780458,7000.290971,502.4800838,999.973766,10.76037421,1,,0.142299381
10/02/2024 09:00,25.84674319,33.80542264,79.64007467,89.75194978,140.70673,100.3861605,7000.581106,499.0099276,997.8076144,8.801599798,1,,0.142299381
10/02/2024 11:00,25.04066563,35.33033757,78.89124773,88.88115075,139.8448738,100.4159973,7000.21608,499.1226348,999.3948106,9.469479309,1,,0.227679009
10/02/2024 12:00,25.324077,33.95487887,79.69357362,90.25679962,140.4922793,100.3514937,7001.384951,499.1373488,1000.106581,10.76484928,0,,0.162627864
10/02/2024 13:00,26.14757413,33.75832191,80.51218929,88.27788036,140.0169315,100.5077666,6998.718651,498.7551583,1001.956402,11.8468539,1,,0.182956347
10/02/2024 16:00,26.15050784,33.55706037,78.92352889,89.43805862,140.1592787,100.3003681,7000.206582,499.8447569,998.0045685,11.21793714,1,,0.142299381
10/02/2024 17:00,26.69284795,32.35135379,79.21529067,90.84207606,140.2850623,99.99307842,7001.186128,501.1259958,999.6796012,11.20220877,1,,0.101642415
10/02/2024 18:00,25.52197315,33.82268741,80.07213739,88.16528262,138.9103356,99.35715336,6999.727793,498.9802886,998.7090591,9.981977127,0,,0.142299381
10/02/2024 20:00,25.67064234,32.27764017,79.59703659,90.57100988,139.2120277,102.311279,6999.450516,499.8627433,1001.017859,10.88673817,1,,0.142299381
10/02/2024 21:00,25.66057776,34.13386807,78.65365723,89.1398873,139.7978865,100.1743007,6999.910936,499.7784177,999.7699225,11.56334767,1,,0.182956347
10/02/2024 22:00,26.33075871,33.21716194,79.0710228,88.55958829,140.1575076,101.2672829,6999.541121,499.6847594,1000.554971,13.7371592,0,,0.329321424
11/02/2024 00:00,20.48755894,27.61011496,49.27267768,60.69184664,110.2404518,68.17023688,999.2694415,200.0016156,399.6868818,5.605175189,1,,0.329321424
11/02/2024 01:00,20.64137999,27.51074162,51.55924337,61.36120726,111.3007031,70.69983734,999.8340045,198.1397856,398.9360633,5.204595831,1,,0.256138886
11/02/2024 02:00,20.30952485,28.21657563,50.08354489,61.5235203,110.5510246,71.20319519,1000.414941,199.3968711,399.0583671,6.095262675,0,,0.329321424
11/02/2024 07:00,19.77311039,26.33859928,48.02471679,59.28637647,110.2016127,69.87873085,1000.176667,201.2801873,400.4426945,5.721128358,1,,0.101642415
11/02/2024 08:00,20.05418679,29.32679194,50.33550549,60.16400983,108.9363141,70.65505849,999.2117009,198.1901733,398.8902196,6.572825673,0,,0.182956347
11/02/2024 09:00,19.52554443,26.58569883,50.41086993,58.0932654,109.9349399,70.83842965,1000.055262,200.2560287,400.2513799,5.09669494,1,,0.101642415
11/02/2024 11:00,18.89490782,28.74753656,50.22878345,59.30863667,108.8029011,68.4595696,999.3295013,199.3228068,400.4287354,4.511775178,1,,0.162627864
11/02/2024 12:00,18.96768403,28.32072741,49.73212015,60.15268487,111.1846547,70.29040977,997.9821872,199.9567065,399.2657958,5.651301153,1,,0.101642415
11/02/2024 13:00,20.68988326,29.41440035,48.62557504,59.28466271,110.227579,70.73319644,1001.468319,199.9232255,401.5051658,5.669011484,1,,0.101642415
11/02/2024 16:00,20.15664504,29.25666279,50.79601347,58.9954072,110.3341507,71.2349217,1001.718252,198.369267,402.9346975,5.847046737,0,,0.101642415
11/02/2024 17:00,19.72113932,26.91243964,50.11751932,61.00995067,108.1577611,70.20401176,998.707311,200.0062505,398.8958675,6.828360887,1,,0.184795089
11/02/2024 18:00,17.70022334,28.00517822,49.37124121,61.59727518,110.0443208,72.04422918,998.4648873,200.9142257,400.6679471,4.30093416,0,,0.102663938
11/02/2024 20:00,21.38994723,27.57178826,51.00694795,59.88437666,108.1289691,69.84721653,999.5455857,201.2703116,401.2419107,6.722933397,1,,0.143729513
11/02/2024 21:00,18.61275925,28.96534078,50.57544233,59.97772686,110.3061298,69.09671473,1000.910449,198.6978146,399.1852971,6.138055031,1,,0.258713124
11/02/2024 22:00,19.52255576,28.27816241,50.82297269,58.3333166,109.9895349,71.06346715,998.9739114,200.4676264,397.8958271,4.554298483,1,,0.184795089
12/02/2024 00:00,19.49917293,28.35212659,55.57775149,64.87768961,115.5082867,74.70768706,2002.77315,249.6208052,499.5829031,7.150349938,0,,0.33263116
12/02/2024 01:00,21.06508217,30.27967637,54.13255164,65.2006014,115.0991344,75.14435669,2001.037978,249.5583402,500.3216504,6.738716586,0,,0.184795089
12/02/2024 02:00,19.9661331,28.78695668,54.55733984,63.49861729,113.5779357,75.27095151,1999.67995,250.6434301,499.3477374,5.780289149,0,,0.258713124
12/02/2024 07:00,23.14483524,29.98022627,55.31532921,64.47608512,112.6655962,75.54235958,1999.84863,249.5671385,501.3070262,6.342084122,0,,0.102663938
12/02/2024 08:00,19.20870691,28.87223996,55.0701922,63.91982911,115.1919158,74.30213411,2001.018439,249.9870854,500.2023015,5.19318691,0,,0.102663938
12/02/2024 09:00,20.42991517,28.26596223,53.96013371,64.79407623,115.9126729,74.22295195,2001.408437,250.0585705,499.3913441,4.735611414,1,,0.102663938
